AOD,narration,cummulative_credit_amount,Output
87,0,230128,0
80,0,1885,0
87,1,223603,0
94,1,941015,0
83,0,76498,0
96,0,458231,0
92,0,376936,0
97,1,279643,0
82,0,282550,0
98,0,196885,0
97,0,14615,0
83,0,236979,0
83,0,799617,0
89,0,142782,0
93,1,727886,0
81,1,946225,1
99,1,710917,0
98,1,574624,0
98,0,963345,0
97,1,158054,0
92,1,634582,0
84,1,76747,0
90,1,86015,0
86,1,181270,0
94,0,351166,0
99,0,73131,0
90,0,75609,0
84,1,662634,1
89,1,596966,1
98,0,138072,0
85,1,622762,1
80,0,998049,0
83,0,797726,0
95,0,51772,0
84,0,748095,0
93,1,913027,0
93,1,287105,0
86,1,897448,1
84,0,455552,0
85,1,296411,0
91,0,561636,0
93,0,344735,0
95,0,904532,0
95,0,171915,0
80,0,33003,0
87,1,807279,1
81,1,778812,1
82,1,563484,1
100,0,995666,0
85,0,575067,0
80,0,899718,0
93,0,668516,0
87,1,862444,1
93,0,997494,0
92,0,903129,0
96,1,116802,0
100,1,446973,0
88,0,290008,0
84,0,521309,0
97,1,572389,0
80,1,907466,1
98,0,981845,0
99,1,476350,0
99,1,124598,0
97,0,25736,0
87,1,448013,0
91,1,474601,0
98,0,645030,0
94,0,560021,0
97,1,150853,0
96,0,501183,0
86,0,575434,0
86,0,897942,0
85,1,782818,1
96,0,323474,0
93,0,420489,0
90,1,205398,0
98,0,901584,0
87,0,115199,0
84,0,597041,0
87,1,782885,1
88,1,308014,0
85,0,652487,0
91,0,389884,0
88,1,955235,1
88,1,12395,0
89,1,781291,1
92,1,461003,0
91,1,937368,0
80,1,952217,1
88,1,772738,1
91,1,366667,0
90,0,66640,0
93,0,669319,0
85,0,76476,0
95,1,251973,0
81,0,623946,0
83,1,87909,0
84,0,243253,0
84,1,931855,1
81,1,475357,0
84,0,921583,0
80,1,254734,0
98,0,987373,0
93,1,629681,0
95,1,216899,0
80,1,308757,0
83,1,98934,0
81,1,62320,0
85,1,823356,1
90,1,922350,0
99,0,936873,0
84,0,557374,0
92,0,592677,0
85,0,968207,0
80,1,730352,1
91,1,43252,0
93,1,955616,0
89,1,307135,0
82,0,354944,0
97,1,979146,0
90,1,639382,0
94,1,867425,0
85,1,368287,0
96,0,627118,0
98,0,246958,0
96,0,666679,0
99,0,695249,0
99,1,124575,0
96,1,504475,0
83,1,430972,0
86,1,856088,1
95,0,362322,0
98,0,64397,0
88,1,321503,0
88,1,203486,0
88,0,980220,0
89,1,695628,1
82,0,452872,0
84,0,813559,0
87,0,180193,0
91,1,113297,0
93,0,155464,0
99,0,649693,0
93,0,100419,0
99,0,875145,0
82,0,893173,0
90,1,701101,0
97,0,607918,0
85,1,141800,0
83,0,422754,0
83,1,641067,1
94,0,810235,0
85,0,192363,0
92,1,685864,0
88,0,407665,0
81,0,528472,0
89,1,12513,0
83,0,306740,0
95,1,8426,0
99,1,844986,0
83,1,674586,1
98,1,45117,0
80,0,75672,0
86,1,140462,0
99,1,660542,0
84,0,233537,0
99,0,297555,0
94,1,658424,0
93,0,962094,0
87,0,331010,0
96,1,721642,0
97,1,930031,0
97,1,397546,0
93,0,959661,0
98,1,730732,0
88,1,167040,0
98,0,469858,0
94,1,916687,0
88,0,378216,0
88,1,547966,1
98,1,868700,0
89,1,880999,1
85,0,735407,0
100,1,887661,0
100,1,355056,0
83,1,84940,0
91,0,486965,0
97,1,582576,0
96,1,33384,0
83,0,185106,0
88,1,854188,1
87,0,650650,0
97,0,581985,0
85,1,498379,0
91,0,987398,0
99,1,125634,0
