AOD,cummulative_cr_amount,cummulative_dr_amount,channel,output
33,57437,25762,1,0
23,81484,83642,1,1
22,8895,65535,1,0
38,86902,7782,1,0
32,52214,77020,0,0
39,40769,50596,0,0
20,67963,77259,0,0
23,17549,36387,0,0
30,17096,86488,0,0
23,92262,87847,0,0
27,52664,6414,0,0
40,71853,57523,1,0
24,74280,73888,1,1
34,89811,6246,0,0
37,65239,75125,1,0
20,24476,36919,1,0
31,73815,52587,1,0
26,58304,70700,1,1
37,61616,24245,0,0
36,25361,10558,1,0
21,13073,89523,1,0
33,60165,17009,1,0
23,88157,5197,1,0
32,6566,3739,0,0
26,83182,46033,1,1
38,59133,43537,0,0
35,86179,85119,0,0
39,68494,11362,1,0
38,39150,55099,1,0
29,5871,27614,1,0
20,38388,22380,1,0
33,16555,27042,1,0
28,32724,66822,0,0
20,20051,30399,1,0
22,95288,44670,0,0
31,18963,54725,1,0
25,43059,20716,1,0
35,50418,12653,1,0
23,32647,10882,0,0
20,9730,34764,0,0
26,37208,65652,1,0
36,91740,10121,1,0
38,9672,18922,0,0
29,84735,65612,1,1
36,52905,2885,0,0
25,72234,92417,0,0
24,18007,51332,0,0
24,17711,27908,1,0
38,31794,9898,0,0
25,94069,34448,1,0
25,91995,24883,0,0
37,8411,56892,1,0
32,28514,36419,0,0
35,93565,89892,1,0
21,21690,97745,1,0
29,69878,4344,1,0
34,22678,49166,1,0
31,93807,34242,0,0
21,47345,60944,1,0
25,89447,72155,0,0
34,20682,12142,1,0
39,73345,43373,0,0
28,10255,46667,0,0
34,39959,97805,1,0
25,4974,51970,0,0
36,88529,62368,1,0
30,83930,87436,1,0
25,5609,91119,1,0
22,33373,76750,0,0
38,43182,53138,0,0
33,41507,61272,0,0
22,85500,78593,0,0
26,92979,96376,0,0
38,83992,62090,1,0
36,42667,55812,1,0
30,79006,44779,1,0
38,8167,51297,0,0
22,46948,8113,1,0
23,87124,53247,1,1
32,32943,20325,0,0
39,75726,61977,0,0
24,59926,48375,1,1
22,84553,93791,1,1
27,32849,58013,0,0
21,96037,81550,0,0
23,31650,64047,0,0
27,11200,48249,1,0
29,93526,46230,1,1
23,58411,26109,0,0
29,61136,15810,0,0
35,13501,93941,1,0
24,83095,97371,1,1
36,86060,84617,1,0
39,22914,26764,1,0
39,77952,85391,0,0
36,53329,56591,1,0
31,41862,91648,0,0
39,79858,42929,0,0
21,76088,29990,0,0
39,78272,77606,0,0
21,86914,49059,1,1
28,12439,48886,0,0
37,83164,59202,0,0
40,8262,12062,0,0
25,92045,58245,0,0
40,76109,17713,1,0
38,71835,43565,1,0
26,50261,75882,1,1
23,20544,91344,1,0
26,71299,58457,1,1
23,13881,88658,0,0
30,53350,23206,0,0
31,50072,23742,1,0
39,86085,52437,0,0
36,82628,61566,1,0
26,94130,57671,1,1
32,26813,65599,0,0
24,68338,32246,0,0
25,25666,22141,0,0
37,10500,27459,1,0
37,6774,96926,1,0
31,89090,13971,1,0
39,15349,52319,1,0
24,10722,31748,0,0
22,73735,15290,0,0
26,56895,13332,1,0
29,34021,49990,0,0
20,33247,24057,0,0
30,78117,47340,0,0
33,87292,98489,1,0
40,72800,40372,1,0
20,86191,16400,1,0
39,36986,91948,1,0
32,68691,91534,0,0
21,29726,38474,0,0
35,33828,84909,1,0
27,79984,35864,0,0
20,94996,55756,0,0
38,23143,32813,0,0
26,81727,45716,0,0
25,31234,49488,1,0
32,53066,54324,1,0
22,61172,27264,1,0
31,47689,1450,1,0
23,61339,18181,1,0
28,91303,47871,0,0
24,61201,54288,1,1
20,73051,9764,1,0
37,63122,3339,1,0
36,48512,94350,0,0
34,9144,39796,0,0
33,15194,53175,1,0
26,46509,30136,0,0
24,72415,69371,0,0
38,40028,40736,1,0
24,60264,98024,0,0
33,14829,89521,1,0
23,2772,84677,1,0
29,23897,91709,0,0
33,59936,83592,1,0
33,33623,17321,0,0
40,37024,61208,1,0
39,72796,74219,0,0
28,7291,6876,0,0
39,54130,88775,1,0
22,29317,50087,1,0
26,23186,83805,1,0
20,99993,10030,0,0
29,62622,44560,1,1
30,68279,60209,1,0
32,1876,31558,0,0
30,51819,22335,0,0
30,93158,14644,0,0
24,76607,76252,1,1
36,46557,59799,1,0
26,23985,48355,1,0
